Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
Chrysophlegma mentale,NA,NA,Y,NA,JAWA,"Chrysophlegma mentale is endemic to Java, Indonesia, where it occurs in the west of the island (Winkler et al. 1995, del Hoyo et al. 2002)."
Cicinnurus magnificus,NA,Y,NA,NA,NA,NA
Cicinnurus regius,NA,Y,NA,NA,NA,NA
Cicinnurus respublica,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22706202/180775851
Ciconia episcopus,NA,Y,NA,NA,NA,NA
Ciconia stormi,NA,Y,NA,Y,NA,NA
Cinnyris buettikoferi,NA,Y,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/22717801/94552966
Cinnyris idenburgi,NA,NA,Y,NA,PAPUA & PAPUA NEW GUINEA,https://www.iucnredlist.org/species/103804169/104298833
Circaetus gallicus,NA,Y,NA,Y,NA,NA
Circus aeruginosus,NA,Y,NA,Y,NA,NA
Circus approximans,NA,Y,NA,Y,NA,NA
Circus assimilis,NA,Y,NA,NA,NA,NA
Circus melanoleucos,NA,Y,NA,Y,NA,NA
Circus spilonotus,NA,Y,NA,Y,NA,NA
Circus spilothorax,NA,Y,NA,NA,NA,NA
Cissa chinensis,NA,Y,NA,NA,NA,NA
Cissa thalassina,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22724821/182915285
Clamator coromandus,NA,Y,NA,Y,NA,NA
Clanga clanga,NA,Y,NA,Y,NA,NA
Cnemophilus loriae,NA,Y,NA,NA,NA,NA
Cnemophilus sanguineus,NA,Y,NA,NA,NA,NA
Cochoa azurea,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22710153/180780968
Cochoa beccarii,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22710150/110098195
Columba argentina,NA,Y,NA,NA,NA,NA
Coracias temminckii,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22682905/130084513
Coracina atriceps,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706486/94072618
Coracina fortis,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22706489/110408868
Coracina leucopygia,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706519/94074654
Coracina novaehollandiae,NA,NA,NA,Y,NA,NA
